rank,year,category,keywordTags,title,authors,venue,citationCount,importanceScore,keyIdea,strengths,limitations,url,doi,sourceId
95,1939,General Brain-AI Structure Reviews and Methods,brain-structure,CEREBRAL CORTICAL CALCIFICATION SIMULATING PICK'S DISEASE,"E. Kahn, E. G. Lion, H. M. Zimmerman",Unknown venue,8,46.75,Positions CEREBRAL CORTICAL CALCIFICATION SIMULATING PICK'S DISEASE within General Brain Science and Reviews.,high citation signal (8); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1176/AJP.95.5.1027,10.1176/AJP.95.5.1027,f50c41a87cc1d0bfef1355f4f821a76aa3fbe0bf
96,1939,General Brain-AI Structure Reviews and Methods,brain-structure,ANATOMIC RELATIONS OF CEREBRAL VESSELS AND PERIVASCULAR NERVES,S. Humphreys,Unknown venue,8,44.75,Positions ANATOMIC RELATIONS OF CEREBRAL VESSELS AND PERIVASCULAR NERVES within General Brain Science and Reviews.,high citation signal (8); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHNEURPSYC.1939.02270180135012,10.1001/ARCHNEURPSYC.1939.02270180135012,69a2db38897c7e76af1e5dfe24bf2e0056195081
97,1939,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,DIFFICULTIES IN DIFFERENTIAL DIAGNOSIS OF BRAIN TUMOR IN OLDER AGE GROUPS,D. Hastings,Unknown venue,7,47.83,Positions DIFFICULTIES IN DIFFERENTIAL DIAGNOSIS OF BRAIN TUMOR IN OLDER AGE GROUPS within Clinical Neurology and Neurodegeneration.,high citation signal (7); brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1097/00005053-193901000-00004,10.1097/00005053-193901000-00004,cb14911c4682827532937560c959c39024856496
98,1939,Clinical NeuroAI and Brain Disorders,brain-structure,EXPERIMENTAL PRODUCTION OF TUMORS OF THE BRAIN WITH THE SHOPE RABBIT PAPILLOMA,"B. Woodhall, R. W. Graves, J. W. Beard",Unknown venue,7,46.63,Positions EXPERIMENTAL PRODUCTION OF TUMORS OF THE BRAIN WITH THE SHOPE RABBIT PAPILLOMA within General Brain Science and Reviews.,high citation signal (7); brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHSURG.1939.01200090062006,10.1001/ARCHSURG.1939.01200090062006,c884c1d047f57ab21e62cbba83c4831449f9665b
99,1939,General Brain-AI Structure Reviews and Methods,brain-structure,Pyruvate Oxidation System in Brain,"I. Banga, S. Ochoa, R. Peters",Nature,7,58.63,Positions Pyruvate Oxidation System in Brain within General Brain Science and Reviews.,high citation signal (7); recognized venue; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1038/144074A0,10.1038/144074A0,c152d37851b7ccf84a13ec728a20f0346c014c3e
100,1939,Clinical NeuroAI and Brain Disorders,brain-structure,REVERSED COARCTATION AND VASOMOTOR GRADIENT: REPORT OF A CARDIOVASCULAR ANOMALY WITH SYMPTOMS OF BRAIN TUMOR,H. M. Giffin,Mayo Clinic proceedings,7,46.63,Positions REVERSED COARCTATION AND VASOMOTOR GRADIENT: REPORT OF A CARDIOVASCULAR ANOMALY WITH SYMPTOMS OF BRAIN TUMOR within Clinical Neurology and Neurodegeneration.,high citation signal (7); brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/s0025-6196(25)11585-1,10.1016/s0025-6196(25)11585-1,05b5b8338207af18cbd24cb54b7accdc8e138026
1,1940,General Brain-AI Structure Reviews and Methods,brain-structure,Experimental cerebral concussion,"D. Denny-Brown, W. Russell",Journal of Physiology,419,116.92,Positions Experimental cerebral concussion within General Brain Science and Reviews.,high citation signal (419); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1113/jphysiol.1940.sp003887,10.1113/jphysiol.1940.sp003887,69f956b5c0c722f63604fd70068ca8d07696ebe9
2,1940,General Brain-AI Structure Reviews and Methods,brain-structure,SPREAD OF THE EPILEPTIC DISCHARGE: AN EXPERIMENTAL STUDY OF THE AFTER-DISCHARGE INDUCED BY ELECTRICAL STIMULATION OF THE CEREBRAL CORTEX,T. C. Erickson,Unknown venue,147,103.15,Positions SPREAD OF THE EPILEPTIC DISCHARGE: AN EXPERIMENTAL STUDY OF THE AFTER-DISCHARGE INDUCED BY ELECTRICAL STIMULATION OF THE CEREBRAL CORTEX within General Brain Science and Reviews.,high citation signal (147); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHNEURPSYC.1940.02280030003001,10.1001/ARCHNEURPSYC.1940.02280030003001,d0884f90b9603848bcaae68dd432617c2530af5c
3,1940,General Brain-AI Structure Reviews and Methods,brain-structure,ENCEPHALOMYELITIS OF MICE,"M. Theiler, S. Gard",Journal of Experimental Medicine,136,96.76,"1. The two strains of virus named GD VII and FA, respectively, accidentally discovered during experiments with yellow fever, have been shown to be immunologically related to each other, as well as to the virus of mouse encephalomyelitis.",high citation signal (136); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1084/jem.72.1.49,10.1084/jem.72.1.49,bcab2ceab84233f67476bc202de3aceff90aee09
4,1940,General Brain-AI Structure Reviews and Methods,brain-structure,THE KINETICS OF THE ENZYMATIC SYNTHESIS OF GLYCOGEN FROM GLUCOSE-1-PHOSPHATE,"G. T. Cori, C. Cori",Unknown venue,126,93.4,"The reversible enzymatic reaction, glycogen + inorganic phosphate F?",high citation signal (126); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/s0021-9258(18)73136-0,10.1016/s0021-9258(18)73136-0,1820d83edd1d9eb29b45464e1daa42cf510ca850
5,1940,General Brain-AI Structure Reviews and Methods,brain-structure,An Application of the Frozen Sectioning Technic for Cutting Serial Sections Thru the Brain,W. H. Marshall,Unknown venue,113,94.45,Positions An Application of the Frozen Sectioning Technic for Cutting Serial Sections Thru the Brain within General Brain Science and Reviews.,high citation signal (113); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.3109/10520294009110338,10.3109/10520294009110338,650ad5757bd1ba53df003cc00109d553a5cb0662
6,1940,General Brain-AI Structure Reviews and Methods,brain-structure,The projection of the cerebral cortex on the pons and cerebellum in the macaque monkey.,S. Sunderland,Journal of Anatomy,109,99.81,Positions The projection of the cerebral cortex on the pons and cerebellum in the macaque monkey. within General Brain Science and Reviews.,high citation signal (109); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://www.semanticscholar.org/paper/5ccf94e34953ee48056fd379b2553c3152bdb1f8,,5ccf94e34953ee48056fd379b2553c3152bdb1f8
7,1940,General Brain-AI Structure Reviews and Methods,brain-structure,THE GREATER RESISTANCE OF VERY YOUNG ANIMALS TO ARREST OF THE BRAIN CIRCULATION,H. Kabat,Unknown venue,103,92.8,Positions THE GREATER RESISTANCE OF VERY YOUNG ANIMALS TO ARREST OF THE BRAIN CIRCULATION within General Brain Science and Reviews.,high citation signal (103); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1152/AJPLEGACY.1940.130.3.588,10.1152/AJPLEGACY.1940.130.3.588,7c3c4438282fed0ec30bb3c129cb251829c7ba4e
8,1940,General Brain-AI Structure Reviews and Methods,brain-structure,A STUDY OF THE NEUROTROPIC TENDENCY IN STRAINS OF THE VIRUS OF EPIDEMIC INFLUENZA,"T. Francis, A. E. Moore",Journal of Experimental Medicine,95,88.36,The demonstration by Stuart-Harris that the W.S.,high citation signal (95); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1084/jem.72.6.717,10.1084/jem.72.6.717,5dc8e4ca41cddd1f26181830ca9ad4f7a99842d3
9,1940,"Electrophysiology, Neural Signals, and AI Decoding",brain-structure;connectome;neural-signals,Electric Excitation of Nerve,A. Hill,The Indian medical gazette,87,91.19,The electrical behaviour of nerve has provided the same fascination for physiologists as the conduction of electricity through gases for physicists.,high citation signal (87); open-access PDF metadata; brain-structure signal,"Signal artifacts, montage choices, source localization, and session drift can dominate apparent model performance.; Temporal precision does not automatically imply anatomical specificity.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1136/bmj.1.4133.485,10.1136/bmj.1.4133.485,d55af27114a5f989ec92be85164b29a2abe8a52d
10,1940,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure;neuroimaging;clinical-neuroai,"SYMPTOMATIC HERPES, A SEQUELA OF ARTIFICIALLY INDUCED FEVER","S. Warren, C. M. Carpenter, R. Boak",Journal of Experimental Medicine,80,113.7,1. Symptomatic herpes occurred in 190 (46.2 per cent) of 411 patients treated with fever induced by physical methods.,high citation signal (80); open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1084/jem.71.2.155,10.1084/jem.71.2.155,a66e4ca85e25335518bd8f3bb13165db38fd4d8a
11,1940,General Brain-AI Structure Reviews and Methods,brain-structure,Benzedrine (β-phenylisopropylamine) and brain metabolism,"P. J. Mann, J. H. Quastel",Unknown venue,79,91.08,"Positions Benzedrine (β-phenylisopropylamine) and brain metabolism within Cerebrovascular, Metabolism, and Brain Injury.",high citation signal (79); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1042/BJ0340414,10.1042/BJ0340414,7384572358fb27fe5e95a5ba809c7f841bfc41c8
12,1940,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure;clinical-neuroai,AVIAN THIAMIN DEFICIENCY,R. Swank,Journal of Experimental Medicine,77,113.82,A correlation of the histopathology and clinical behavior of thiamin deficient pigeons has been undertaken.,high citation signal (77); open-access PDF metadata; brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1084/jem.71.5.683,10.1084/jem.71.5.683,e35694144aa8e9fc0d273d5e847510bb10b73a5f
13,1940,General Brain-AI Structure Reviews and Methods,brain-structure,Arteries and veins in the mammalian brain,E. Scharrer,Unknown venue,73,86.67,Positions Arteries and veins in the mammalian brain within General Brain Science and Reviews.,high citation signal (73); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1002/AR.1090780204,10.1002/AR.1090780204,e8793a10d83762329b4fd6d77cbd9456ea98a5da
14,1940,General Brain-AI Structure Reviews and Methods,brain-structure,STUDIES OF A MURINE STRAIN OF POLIOMYELITIS VIRUS IN COTTON RATS AND WHITE MICE,"C. W. Jungeblut, M. Sanders",Journal of Experimental Medicine,73,85.67,1. A neurotropic murine virus was isolated by passing poliomyelitis virus (SK strain) from the monkey to cotton rats and white mice.,high citation signal (73); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1084/jem.72.4.407,10.1084/jem.72.4.407,1eb2a9ff855edc08a33bb60a60c8b0fd5cd57921
15,1940,Clinical NeuroAI and Brain Disorders,brain-structure;neuroimaging;clinical-neuroai,THE STABILIZATION AND DETERMINATION OF PYRUVIC ACID IN THE BLOOD,"E. Bueding, H. Wortis",Unknown venue,72,85.83,The diphosphoric ester of vitamin B1 (cocarboxylase) is the coenzyme necessary for the normal catabolism of pyruvic acid in body tissues.,high citation signal (72); open-access PDF metadata; brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/s0021-9258(18)73341-3,10.1016/s0021-9258(18)73341-3,edeb7116003c4f6710c59c1bf4e83d7fa524c382
16,1940,General Brain-AI Structure Reviews and Methods,brain-structure,LIPID METABOLISM IN BRAIN DURING MYELINATION,"Heinrich Waelsch, W. Sperry, V. Stoyanoff",Unknown venue,70,88.93,"In the preceding invest,igations (1, 2) the rate of turnover of lipids was found to be slower in the brain of adult rats than in other organs (liver and intestine) studied for comparison.",high citation signal (70); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/s0021-9258(18)73187-6,10.1016/s0021-9258(18)73187-6,a43ffaf12c26867b2e23c8ad6026aa16a12c6f60
17,1940,General Brain-AI Structure Reviews and Methods,brain-structure,A STUDY OF THE SYNTHESIS AND DEPOSITION OF LIPIDS IN BRAIN AND OTHER TISSUES WITH DEUTERIUM AS AN INDICATOR,"H. Waelsch, W. Sperry, V. Stoyanoff",Unknown venue,69,88.67,Positions A STUDY OF THE SYNTHESIS AND DEPOSITION OF LIPIDS IN BRAIN AND OTHER TISSUES WITH DEUTERIUM AS AN INDICATOR within General Brain Science and Reviews.,high citation signal (69); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/S0021-9258(18)73186-4,10.1016/S0021-9258(18)73186-4,cd6dfc1f9984fac72d68eb8bfb290514c7c07450
18,1940,"Cellular, Synaptic, and Neuromorphic Foundations",brain-structure,CHANGES IN THE BRAIN RESULTING FROM DEPLETION OF EXTRACELLULAR ELECTROLYTES,H. Yannet,Unknown venue,68,109.41,Positions CHANGES IN THE BRAIN RESULTING FROM DEPLETION OF EXTRACELLULAR ELECTROLYTES within General Brain Science and Reviews.,high citation signal (68); brain-structure signal,"Cellular mechanisms rarely scale directly into whole-brain behavior or modern AI architectures.; Animal and ex vivo findings require careful translation to human cognition and deployed systems.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1152/AJPLEGACY.1940.128.4.683,10.1152/AJPLEGACY.1940.128.4.683,be7ae124294b4cc85b4b47263417b649b3229bda
19,1940,General Brain-AI Structure Reviews and Methods,brain-structure,"The control of normal and ""convulsive"" brain potentials.","R. Gerard, B. Libet",Unknown venue,68,85.41,"Positions The control of normal and ""convulsive"" brain potentials. within General Brain Science and Reviews.",high citation signal (68); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1176/AJP.96.5.1125,10.1176/AJP.96.5.1125,bb7ae5e65e6a1586f206e209c1ca09f4a6fa3848
20,1940,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,The Hypothalamus and Central Levels of Autonomic Function,W. J. German,Nature,65,98.81,"THIS volume contains thirty-four separate papers on different structural, functional and clinical problems related to that part of the brain which is known as the hypothalamus.",high citation signal (65); recognized venue; open-access PDF metadata; brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1038/148387a0,10.1038/148387a0,72d880b12789d50d27f043b07b6611e0f37cde2b
21,1940,General Brain-AI Structure Reviews and Methods,brain-structure,'Coupling' of Phosphorylation with Oxidation of Pyruvic Acid in Brain Tissue,S. Ochoa,Nature,64,99.34,Positions 'Coupling' of Phosphorylation with Oxidation of Pyruvic Acid in Brain Tissue within General Brain Science and Reviews.,high citation signal (64); recognized venue; open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1038/145747A0,10.1038/145747A0,4ea0890ed7620100bac12cd9186cd656e646ea6c
22,1940,General Brain-AI Structure Reviews and Methods,brain-structure,TRAUMATIC INTRACEREBRAL HEMORRHAGE: WITH PARTICULAR REFERENCE TO ITS PATHOGENESIS AND ITS RELATION TO DELAYED TRAUMATIC APOPLEXY,"C. Courville, O. A. Blomquist",Unknown venue,64,80.34,"Positions TRAUMATIC INTRACEREBRAL HEMORRHAGE: WITH PARTICULAR REFERENCE TO ITS PATHOGENESIS AND ITS RELATION TO DELAYED TRAUMATIC APOPLEXY within Cerebrovascular, Metabolism, and Brain Injury.",high citation signal (64); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHSURG.1940.01210010004001,10.1001/ARCHSURG.1940.01210010004001,fba8ef0ecc3c779832ca8aec3f00e2e3887da68f
23,1940,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,A Textbook of X-Ray Diagnosis,W. Twining,The Indian medical gazette,63,82.26,"The circumstance which has led to the appearance of the third editor's name on the dedication page is a sad blow to British radiology, for at the time of his death Edward Wing Twining was in the prime of life and one had a right to expect many more years of useful service from him.",high citation signal (63); open-access PDF metadata; brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/jama.1940.02810220067029,10.1001/jama.1940.02810220067029,b7775ab9bafd701e8dab5918283ceea31911920b
24,1940,General Brain-AI Structure Reviews and Methods,brain-structure,EPILEPTOGENIC LESIONS OF THE BRAIN: A HISTOLOGIC STUDY,"W. Penfield, S. Humphreys",Unknown venue,62,83.78,Positions EPILEPTOGENIC LESIONS OF THE BRAIN: A HISTOLOGIC STUDY within General Brain Science and Reviews.,high citation signal (62); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHNEURPSYC.1940.02280020048004,10.1001/ARCHNEURPSYC.1940.02280020048004,db2ea6c9b80f6ff918e760ab04683494d813c759
25,1940,General Brain-AI Structure Reviews and Methods,brain-structure,THE EFFECTS OF VARIATIONS IN THE CONCENTRATION OF OXYGEN AND OF GLUCOSE ON DARK ADAPTATION,"R. Mcfarland, W. Forbes",The Journal of General Physiology,59,79.9,In this study we have analyzed the effects of variations in the concentrations of oxygen and of blood sugar on light sensitivity; i.e.,high citation signal (59); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1085/jgp.24.1.69,10.1085/jgp.24.1.69,16b168230f55b5b1312a3835d087b565b9f2ca40
26,1940,Clinical NeuroAI and Brain Disorders,brain-structure;clinical-neuroai,PERSONALITY CHANGES ACCOMPANYING CEREBRAL LESIONS: I. RORSCHACH STUDIES OF PATIENTS WITH CEREBRAL TUMORS,M. R. Harrower-Erickson,Unknown venue,58,79.8,Positions PERSONALITY CHANGES ACCOMPANYING CEREBRAL LESIONS: I. RORSCHACH STUDIES OF PATIENTS WITH CEREBRAL TUMORS within Clinical Neurology and Neurodegeneration.,high citation signal (58); brain-structure signal,"Clinical cohorts vary by disease stage, comorbidity, treatment history, and follow-up.; Models can learn site or demographic artifacts instead of disease mechanisms.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHNEURPSYC.1940.02280050003001,10.1001/ARCHNEURPSYC.1940.02280050003001,6fe547fe0bd8958f4fcb662d0d5daa0fe4e10e00
27,1940,General Brain-AI Structure Reviews and Methods,brain-structure,CORTICAL RESPONSES FROM ELECTRICAL STIMULATION OF THE BRAIN STEM,"R. Morison, E. Dempsey, B. Morison",Unknown venue,57,84.29,Positions CORTICAL RESPONSES FROM ELECTRICAL STIMULATION OF THE BRAIN STEM within General Brain Science and Reviews.,high citation signal (57); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1152/AJPLEGACY.1940.131.3.732,10.1152/AJPLEGACY.1940.131.3.732,930f3e9155374ecfa46637ba675f68e756eccec6
28,1940,"Cognitive Architectures, Learning, and Systems Neuroscience",brain-structure,ON THE ISOLATION OF A GLUCOSE-CONTAINING CEREBROSIDE FROM SPLEEN IN A CASE OF GAUCHER'S DISEASE,"N. Halliday, H. Deuel, L. J. Tragerman, W. E. Ward",Unknown venue,54,102.33,In his recent book Page (1) has described the past and recent work on cerebrosides and the present status of knowledge concerning these compounds.,high citation signal (54); open-access PDF metadata; brain-structure signal,"Task designs can oversimplify cognition and limit ecological validity.; Circuit-behavior correlations need causal perturbation or strong model comparison before mechanistic claims are secure.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/s0021-9258(18)73406-6,10.1016/s0021-9258(18)73406-6,c0513224f6e1e88da85d86cf6e4b3d7b1fa9ccad
29,1940,General Brain-AI Structure Reviews and Methods,brain-structure,THE BRAIN IN MALIGNANT HYPERTENSION: A CLINICOPATHOLOGIC STUDY,E. Rosenberg,Unknown venue,45,78.12,Positions THE BRAIN IN MALIGNANT HYPERTENSION: A CLINICOPATHOLOGIC STUDY within General Brain Science and Reviews.,high citation signal (45); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHINTE.1940.00190090082006,10.1001/ARCHINTE.1940.00190090082006,4191628a422d5a1d36a2ea139a8a358470f64760
30,1940,General Brain-AI Structure Reviews and Methods,brain-structure,Vitamin B1 and Acetylcholine Formation in Isolated Brain,"P. J. Mann, J. H. Quastel",Nature,43,89.32,Positions Vitamin B1 and Acetylcholine Formation in Isolated Brain within General Brain Science and Reviews.,high citation signal (43); recognized venue; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1038/145856A0,10.1038/145856A0,db13daa5d2bf208867d0730220ad779b6607ff9a
31,1940,General Brain-AI Structure Reviews and Methods,brain-structure,ACID-SOLUBLE PHOSPHORUS COMPOUNDS AND LACTIC ACID IN THE BRAIN,W. Stone,Unknown venue,40,79.04,Little is known at present concerning the acid-soluble phosphorus compounds in bhe brain.,high citation signal (40); open-access PDF metadata; brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1016/s0021-9258(18)73155-4,10.1016/s0021-9258(18)73155-4,d83868686596a56033b0e0418372252c4f07964a
32,1940,General Brain-AI Structure Reviews and Methods,brain-structure,CHOLINE ESTERASE IN BRAIN AND SPINAL CORD OF SHEEP EMBRYOS,D. Nachmansohn,Unknown venue,40,76.04,Positions CHOLINE ESTERASE IN BRAIN AND SPINAL CORD OF SHEEP EMBRYOS within General Brain Science and Reviews.,high citation signal (40); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1152/JN.1940.3.5.396,10.1152/JN.1940.3.5.396,38bced07226757591725dd3ef1920218ecedcb9e
33,1940,General Brain-AI Structure Reviews and Methods,brain-structure,SPONTANEOUS CEREBRAL VENTRICULOSTIUM,W. Sweet,Unknown venue,37,70.68,Positions SPONTANEOUS CEREBRAL VENTRICULOSTIUM within General Brain Science and Reviews.,high citation signal (37); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1001/ARCHNEURPSYC.1940.02280090051004,10.1001/ARCHNEURPSYC.1940.02280090051004,84610d0f3ca8958fc1d39f49e108ac78f02842ce
34,1940,General Brain-AI Structure Reviews and Methods,brain-structure,Bilateral differences in brain potentials from the two cerebral hemispheres in relation to laterality and stuttering.,D. B. Lindsley,Unknown venue,35,75.7,Positions Bilateral differences in brain potentials from the two cerebral hemispheres in relation to laterality and stuttering. within General Brain Science and Reviews.,high citation signal (35); brain-structure signal,"Reviews and methods can dominate citations while obscuring smaller empirical advances.; Bridge terminology can be ambiguous, especially around neural networks, intelligence, and biological plausibility.; Imaging conclusions can depend on acquisition, preprocessing, and model specification.",https://doi.org/10.1037/H0054910,10.1037/H0054910,74c2edb75f6e2c111f89fceb555bcf04ea1b6c30
